Model,Mileage,City,Year,Dealer,Price
Explorer,"51,485 Miles",Santa Monica,2020,Santa Monica Ford,"$27,890"
F-150,"16,600 Miles",Ventura,2016,Crown Dodge Chrysler Jeep,"$99,991"
Mustang,"83,000 Miles",Bellflower,2007,Petra Auto Sales,"$9,925"
Edge,"43,664 Miles",Riverside,2015,Raceway Ford,"$16,100"
F-350 Super Duty,"206,668 Miles",Panorama City,2015,Happy Auto Group,"$19,998"
Ranger,"55,447 Miles",Orange,2020,Auto Republic Orange,"$30,771"
F-150 Lightning,New,Riverside,2023,Raceway Ford,"$100,319"
F-150,New,Riverside,2023,Raceway Ford,"$80,495"
Fusion Energi,"99,042 Miles",Lawndale,2019,Austra Motors,"$15,990"
Bronco Sport,New,Los Angeles,2023,Ford Of Downtown LA,"$31,088"
Edge,New,Riverside,2023,Raceway Ford,"$45,790"
F-150,New,Riverside,2023,Raceway Ford,"$74,390"
Escape,"180,910 Miles",Ontario,2015,World Motors,"$6,950"
Escape,"121,413 Miles",Los Angeles,2016,Yans Auto Group,"$9,595"
Mustang,"92,947 Miles",Fontana,2016,Divine Auto Mall LLC,"$18,999"
Transit,"76,107 Miles",Los Angeles,2019,South Bay Pre-Owned,"$29,995"
Ranger,"88,889 Miles",Los Angeles,1998,Royal Auto Dealer,"$8,995"
Transit,"78,828 Miles",Santa Ana,2016,Sterling Imports LTD,"$29,990"
Mustang,"62,522 Miles",Norco,2019,Auto X Motors,"$28,900"
F-150,"61,222 Miles",Harbor City,2019,Jim's Auto Sales - Harbor City,"$40,995"
C-MAX Hybrid,"129,500 Miles",Orange,2013,"EZE Autobrokers, Inc.","$8,495"
Explorer,"230,143 Miles",La Crescenta,2002,Car City Inc - La Crescenta,"$4,495"
Ranger,New,Riverside,2023,Raceway Ford,"$42,010"
Focus,"96,064 Miles",Los Angeles,2013,Yans Auto Group,"$13,995"
F-150,"26,644 Miles",Van Nuys,2022,Van Nuys Alfa Romeo Maserati,"$51,895"
Explorer,"89,471 Miles",Harbor City,2017,Jim's Auto Sales - Harbor City,"$19,995"
Explorer,"84,125 Miles",Los Angeles,2016,Yans Auto Group,"$17,959"
F-250 Super Duty,"158,610 Miles",Ontario,2006,Corona Motors,"$15,985"
Edge,"120,326 Miles",La Puente,2015,GM Auto Inc,"$13,700"
E-Transit,New,Riverside,2023,Raceway Ford,"$60,180"
Ranger,New,Riverside,2023,Raceway Ford,"$37,275"
Flex,"161,406 Miles",Orange,2015,B&J Car Company,"$10,988"
F-250 Super Duty,"46,302 Miles",Victorville,2021,Platinum Auto Group,"$63,995"
Fusion Hybrid,"100,958 Miles",Bloomington,2018,Unique Auto Center,"$13,995"
Transit,"75,914 Miles",Los Angeles,2020,Ford Of Downtown LA,"$36,634"
F-250 Super Duty,"47,563 Miles",Norco,2021,Aaron Chrysler Dodge Jeep Ram,"$43,079"
F-250 Super Duty,"99,956 Miles",Orange,2014,Auto Republic Orange,"$16,981"
Bronco,New,Riverside,2023,Raceway Ford,"$66,360"
Mustang,"60,617 Miles",Riverside,2011,RPM Autos,"$20,995"
Focus,"76,830 Miles",Huntington Beach,2012,Car Plus Finance,"$7,495"
EcoSport,"38,550 Miles",Fontana,2021,A & A Auto Sales,"$16,977"
Escape,"140,636 Miles",Los Angeles,2012,Vics Auto Sales,"$6,999"
Mustang Mach-E,New,Riverside,2023,Raceway Ford,"$72,290"
Transit Connect,"165,318 Miles",Panorama City,2011,Happy Auto Group,"$9,999"
Ranger,"48,902 Miles",Van Nuys,2020,Van Nuys Alfa Romeo Maserati,"$31,585"
F-150,"55,424 Miles",Orange,2017,Southern California Preowned,"$51,750"
F-150,"14,945 Miles",Los Angeles,2020,Ford Of Downtown LA,"$29,998"
Crown Victoria,"87,745 Miles",Westminster,2011,Westminster MotorCars,"$8,995"
F-150,New,Riverside,2023,Raceway Ford,"$75,965"
Transit,"61,081 Miles",Rialto,2020,CarFam,"$42,988"
Explorer,"76,470 Miles",Riverside,2020,Raceway Ford,"$27,899"
Explorer,"28,800 Miles",Riverside,2020,Raceway Ford,"$35,668"
Fusion Hybrid,"119,164 Miles",Bell,2018,Tristar Motors,"$12,988"
Ranger,"21,827 Miles",Riverside,2020,Raceway Ford,"$31,700"
Flex,"56,547 Miles",South Gate,2019,Auto Connect,"$18,950"
Maverick,New,Riverside,2023,Raceway Ford,"$34,030"
F-150,"234,000 Miles",Orange,2013,"EZE Autobrokers, Inc.","$6,495"
