Model,Mileage,City,Year,Dealer,Price
F-150,"4,448 Miles",Orange,2023,Villa Ford,"$67,900"
F-250 Super Duty,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$73,995"
Ranger,"30,755 Miles",Fontana,2020,Sunrise Ford,"$31,499"
F-150,"3,195 Miles",Orange,2022,Villa Ford,"$63,988"
Transit,"68,535 Miles",Thousand Oaks,2021,Shaver Chrysler Dodge Jeep RAM,"$45,295"
Edge,"70,967 Miles",Fontana,2013,Remate De Auto Sales,"$15,900"
Edge,"47,812 Miles",Palmdale,2019,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$25,998"
Edge,"26,748 Miles",Los Angeles,2020,Galpin Ford,"$26,477"
F-250 Super Duty,New,Fontana,2023,Sunrise Ford,"$83,945"
Fusion,"68,000 Miles",Lancaster,2020,Diamond Mazda,"$21,852"
Mustang,"9,163 Miles",Van Nuys,2020,Van Nuys Chrysler Dodge Jeep Ram,"$94,889"
Explorer,"26,450 Miles",Los Angeles,2020,Galpin Ford,"$33,262"
F-150,"110,715 Miles",Fontana,2017,R & B Auto Center,"$25,800"
Mustang,"24,920 Miles",Placentia,2018,SC MOTORS,"$33,818"
Bronco Sport,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$40,710"
Explorer,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$52,200"
Bronco,"35,432 Miles",Fillmore,1991,Bunnin Chevrolet Of Fillmore,"$38,900"
Fusion Hybrid,"71,395 Miles",Palmdale,2019,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$20,998"
GT,190 Miles,Calabasas,2018,Calabasas Luxury Motorcars,"$1,095,000"
F-150,"88,261 Miles",Fontana,2017,Rock Honda,"$26,912"
Flex,"127,099 Miles",Bakersfield,2016,CarMax Bakersfield - Now Open,"$15,998"
Flex,"68,946 Miles",Santa Monica,2019,Subaru Santa Monica,"$26,389"
Mustang,"20,720 Miles",Anaheim,2020,JStar Chrysler Jeep Dodge RAM,"$85,900"
Explorer,"48,698 Miles",Signal Hill,2019,Boulevard Cadillac,"$31,495"
Ranger,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$48,960"
Fusion Hybrid,"38,606 Miles",Los Angeles,2020,Galpin Ford,"$24,500"
Escape,New,Orange,2022,Villa Ford,"$37,545"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$68,905"
F-150,New,Fontana,2023,Sunrise Ford,"$67,570"
Bronco Sport,New,Fontana,2023,Sunrise Ford,"$46,425"
Mustang Mach-E,New,Fontana,2023,Sunrise Ford,"$60,835"
F-250 Super Duty,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$83,945"
F-150,"48,314 Miles",Riverside,2019,Fritts Ford,"$42,531"
F-150,New,Riverside,2023,Fritts Ford,"$48,285"
Transit,"54,841 Miles",Sherman Oaks,2020,Universal Mitsubishi,"$37,885"
F-150,117 Miles,Culver City,2023,Culver City Chevrolet,"$48,995"
F-150,New,Fontana,2023,Sunrise Ford,"$67,570"
F-150,"67,019 Miles",Orange,2017,Villa Ford,"$23,990"
Explorer,"6,738 Miles",Los Angeles,2022,Galpin Ford,"$38,410"
Explorer,New,Fontana,2023,Sunrise Ford,"$52,995"
Mustang,"106,832 Miles",Yucaipa,2002,Advantage Auto Center,"$11,995"
F-150,"3,187 Miles",North Hollywood,2023,Sunrise Ford Of North Hollywood,"$79,995"
F-150,"47,831 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$90,201"
F-150,"8,757 Miles",North Hollywood,2019,Sunrise Ford Of North Hollywood,"$33,995"
Bronco Sport,New,Fontana,2023,Sunrise Ford,"$42,170"
Bronco Sport,"7,943 Miles",Orange,2022,Villa Ford,"$32,900"
Escape Hybrid,"4,078 Miles",Riverside,2021,Fritts Ford,"$32,770"
Explorer,New,Fontana,2023,Sunrise Ford,"$52,200"
Focus,"78,220 Miles",Van Nuys,2018,Wholesale Investments Inc,"$11,500"
Fusion Hybrid,"46,588 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$20,985"
Mustang Mach-E,New,South Gate,2023,Central Ford,"$65,588"
Fusion,"57,791 Miles",Hawthorne,2016,Hawthorne Auto Square Inc,"$18,995"
Bronco Sport,"19,704 Miles",Los Angeles,2021,Los Angeles Chrysler Jeep Dodge Ram,"$29,959"
Explorer,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$61,825"
Fusion,"59,873 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$17,545"
Escape,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$32,495"
Transit,"89,799 Miles",Fontana,2019,Sunrise Ford,"$37,999"
Edge,"51,255 Miles",Los Angeles,2019,Volkswagen Of Downtown L.A.,"$20,143"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$54,865"
F-150,New,Orange,2023,Villa Ford,"$74,580"
Escape,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$33,710"
Mustang Mach-E,"21,265 Miles",Los Angeles,2021,Galpin Ford,"$42,995"
Mustang Mach-E,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$53,830"
Explorer,"49,315 Miles",Van Nuys,2021,Keyes Lexus,"$33,988"
Explorer,"31,493 Miles",Los Angeles,2020,Galpin Ford,"$32,912"
Mustang Mach-E,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$63,590"
Fusion Hybrid,"26,538 Miles",Los Angeles,2019,Galpin Ford,"$22,744"
Ranger,"28,736 Miles",Los Angeles,2020,Galpin Ford,"$33,000"
F-150,New,Fontana,2023,Sunrise Ford,"$66,430"
Bronco Sport,New,Fontana,2023,Sunrise Ford,"$40,030"
Explorer,"30,187 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$28,495"
Escape,"22,730 Miles",Los Angeles,2020,Galpin Ford,"$22,955"
F-150,"100,844 Miles",Fontana,2017,Sunrise Ford,"$26,999"
Explorer,"18,078 Miles",Los Angeles,2020,Galpin Ford,"$34,700"
Fusion Hybrid,"49,168 Miles",Los Angeles,2020,Galpin Ford,"$22,779"
F-150,New,South Gate,2023,Central Ford,"$47,130"
Edge,"35,396 Miles",Canoga Park,2018,Dependable Chrysler Dodge Jeep & Ram,"$24,495"
F-150,"132,132 Miles",Porterville,2018,Porterville Ford,"$31,577"
F-150,"32,071 Miles",Fontana,2020,R & B Auto Center,"$38,925"
Ranger,New,Riverside,2023,Fritts Ford,"$38,715"
F-150,New,Riverside,2023,Fritts Ford,"$48,285"
Explorer,"41,243 Miles",Los Angeles,2020,Galpin Ford,"$32,158"
F-150,"54,537 Miles",Porterville,2020,Porterville Ford,"$36,337"
Explorer,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$47,320"
Explorer,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$61,410"
F-250 Super Duty,New,Fontana,2023,Sunrise Ford,"$80,965"
Fusion Hybrid,"12,400 Miles",San Fernando,2020,Galpin Honda,"$25,421"
Ranger,"63,256 Miles",Santa Ana,2020,California Motors Direct,"$30,999"
Edge,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$41,330"
Fusion Hybrid,"53,693 Miles",Los Angeles,2020,Galpin Ford,"$22,924"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$55,360"
Mustang Mach-E,"16,468 Miles",Riverside,2022,Fritts Ford,"$39,610"
E-Series,"73,898 Miles",Van Nuys,2011,Wholesale Investments Inc,"$20,250"
Escape,"33,746 Miles",Duarte,2019,Advantage Ford Lincoln,"$24,588"
Edge,"64,008 Miles",Victorville,2020,Avis Car Sales - Victorville,"$20,395"
Bronco,New,Fontana,2023,Sunrise Ford,"$53,365"
Ranger,"33,738 Miles",Los Angeles,2021,Galpin Ford,"$38,544"
Bronco Sport,New,Orange,2023,Villa Ford,"$34,835"
Escape Hybrid,"73,531 Miles",Riverside,2020,Riverside Hyundai,"$21,991"
Flex,"69,438 Miles",Lancaster,2019,Diamond Mazda,"$25,992"
Fusion Hybrid,"84,322 Miles",Lancaster,2019,Diamond Mazda,"$19,400"
Mustang Mach-E,New,Orange,2022,Villa Ford,"$71,410"
F-150,New,Fontana,2023,Sunrise Ford,"$74,735"
F-350 Super Duty,"64,121 Miles",Fontana,2017,Rock Honda,"$61,870"
Mustang,"63,935 Miles",Bloomington,2016,Fontana Auto Center,"$30,995"
Explorer,"55,424 Miles",Orange,2020,Villa Ford,"$33,900"
Edge,"238,575 Miles",Covina,2013,Thomas Acura,"$7,688"
Explorer,"42,959 Miles",Orange,2020,Villa Ford,"$34,554"
F-150,"31,882 Miles",Anaheim,2020,JStar Chrysler Jeep Dodge RAM,"$67,500"
F-150,New,Riverside,2023,Fritts Ford,"$47,795"
F-150,"71,605 Miles",Westlake Village,2018,DCH Ford Of Thousand Oaks,"$52,985"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$138,000"
F-150,New,Fontana,2023,Sunrise Ford,"$68,745"
Mustang,"84,659 Miles",Montclair,2018,IE Motors Direct,"$20,121"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$49,730"
F-150,"6,485 Miles",Anaheim,2022,JStar Chrysler Jeep Dodge RAM,"$85,900"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$55,455"
Mustang Mach-E,"11,545 Miles",Anaheim,2022,JStar Chrysler Jeep Dodge RAM,"$40,600"
Edge,New,South Gate,2023,Central Ford,"$40,650"
Fusion,"31,300 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$21,269"
Edge,"16,959 Miles",Los Angeles,2020,Galpin Ford,"$26,995"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$81,675"
F-150,New,Fontana,2023,Sunrise Ford,"$81,260"
Edge,"16,433 Miles",Riverside,2022,Hertz Car Sales Riverside,"$30,913"
F-150,"65,677 Miles",Porterville,2020,Porterville Ford,"$28,300"
Edge,"29,349 Miles",Los Angeles,2020,Galpin Ford,"$25,985"
Edge,"41,719 Miles",Bakersfield,2017,Motor City Buick GMC,"$20,984"
Edge,"26,656 Miles",Los Angeles,2020,Galpin Ford,"$26,944"
F-150,"47,261 Miles",Riverside,2019,Fritts Ford,"$64,522"
Fusion Hybrid,"23,723 Miles",Los Angeles,2020,Galpin Ford,"$24,957"
Mustang,"37,701 Miles",Anaheim,2020,JStar Chrysler Jeep Dodge RAM,"$26,300"
F-150,New,Fontana,2023,Sunrise Ford,"$54,660"
Fusion Hybrid,"52,057 Miles",San Fernando,2019,Galpin Honda,"$20,704"
Escape,"60,243 Miles",Westlake Village,2020,DCH Subaru Of Thousand Oaks,"$20,402"
Escape,"31,179 Miles",Los Angeles,2020,Galpin Ford,"$22,354"
Escape,"32,187 Miles",Moreno Valley,2021,Moss Bros Toyota,"$29,249"
Ranger,"41,644 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$29,495"
F-150,"115,567 Miles",Hawthorne,2017,Hawthorne Auto Square Inc,"$18,995"
E-Series,"58,816 Miles",Van Nuys,2014,Wholesale Investments Inc,"$37,000"
F-250 Super Duty,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$83,945"
F-150,New,Fontana,2023,Sunrise Ford,"$76,225"
F-150,New,Fontana,2023,Sunrise Ford,"$75,635"
Edge,New,Ridgecrest,2023,Jim Charlon Ford Incorporated,"$43,004"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$142,000"
Escape,"85,921 Miles",Los Angeles,2018,Galpin Ford,"$20,500"
F-150,"59,054 Miles",Glendale,2020,Future Auto Sales,"$33,495"
F-150,"159,000 Miles",Bloomington,2015,Autosmart Bloomington,"$22,995"
Edge,"118,860 Miles",Bellflower,2018,George Chevrolet,"$13,980"
F-150 Lightning,New,Orange,2023,Villa Ford,"$100,619"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$80,880"
F-150 Lightning,"10,830 Miles",Alhambra,2022,Bravo Chrysler Jeep Dodge Ram,"$69,990"
Focus,"28,908 Miles",Montclair,2017,IE Motors Direct,"$37,168"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$54,795"
Bronco,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$47,455"
F-150,New,South Gate,2023,Central Ford,"$47,130"
Expedition MAX,"49,651 Miles",Anaheim,2021,JStar Chrysler Jeep Dodge RAM,"$46,800"
Explorer,"25,426 Miles",Montebello,2020,LA Auto Exchange,"$32,300"
F-250 Super Duty,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$69,950"
Mustang,New,Orange,2023,Villa Ford,"$55,560"
Fusion,"108,885 Miles",Ridgecrest,2014,Jim Charlon Ford Incorporated,"$15,900"
Explorer,New,Fontana,2023,Sunrise Ford,"$53,295"
Bronco Sport,"17,473 Miles",South Gate,2021,Central Ford,"$31,988"
E-Series,"8,746 Miles",Fontana,2022,Sunrise Ford,"$49,999"
F-150,New,South Gate,2023,Central Ford,"$47,130"
Expedition,"92,293 Miles",Fontana,2018,Sunrise Ford,"$29,999"
Edge,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$40,835"
F-150,"81,622 Miles",Fontana,2016,R & B Auto Center,"$28,600"
Flex,"26,520 Miles",Van Nuys,2015,Wholesale Investments Inc,"$21,000"
F-150,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$58,385"
Bronco Sport,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$35,180"
Fusion,"11,264 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$18,995"
F-150,New,Riverside,2023,Fritts Ford,"$49,045"
F-250 Super Duty,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$69,950"
Escape,"51,678 Miles",Hawthorne,2016,Hawthorne Auto Square Inc,"$17,995"
Mustang,"34,970 Miles",Fontana,2019,Fontana Motors Direct,"$28,155"
Mustang Mach-E,New,Fontana,2023,Sunrise Ford,"$53,030"
F-250 Super Duty,New,Fontana,2023,Sunrise Ford,"$83,945"
F-150,"108,660 Miles",Fontana,2015,R & B Auto Center,"$25,990"
Mustang,"20,992 Miles",Bakersfield,2017,Limited Motors Auto Group,"$34,888"
Bronco Sport,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$37,190"
F-150,New,Riverside,2023,Fritts Ford,"$47,845"
F-250 Super Duty,"34,995 Miles",Westlake Village,2021,DCH Ford Of Thousand Oaks,"$59,995"
Flex,"172,000 Miles",Bloomington,2014,Autosmart Bloomington,"$12,995"
Escape Hybrid,"44,190 Miles",Fontana,2010,Fontana Motors Direct,"$14,349"
Explorer,"28,277 Miles",Orange,2020,Villa Ford,"$38,900"
F-150,"37,464 Miles",Victorville,2019,Avis Car Sales - Victorville,"$30,995"
Transit,"25,201 Miles",Downey,2019,Champion Chrysler Jeep Dodge RAM,"$36,997"
Expedition,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$82,760"
Mustang Mach-E,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$47,955"
Fusion,"73,370 Miles",Bakersfield,2018,Limited Motors Auto Group,"$17,988"
F-350 Super Duty,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$66,250"
Ranger,"25,533 Miles",Los Angeles,2021,Galpin Ford,"$43,500"
Fusion,"116,164 Miles",Orange,2011,Villa Ford,"$8,888"
F-150,New,Riverside,2023,Fritts Ford,"$46,470"
Explorer,"65,753 Miles",Orange,2018,Villa Ford,"$26,900"
F-150,New,Fontana,2023,Sunrise Ford,"$68,890"
Explorer,"35,972 Miles",Los Angeles,2020,Galpin Ford,"$32,648"
Mustang,"35,243 Miles",Porterville,2020,Porterville Ford,"$26,835"
Bronco Sport,New,Ridgecrest,2023,Jim Charlon Ford Incorporated,"$32,259"
Fusion,"72,330 Miles",Mission Hills,2019,Nissan Of Mission Hills,"$17,854"
Fusion,"89,009 Miles",North Hollywood,2016,Car Star Motors,"$14,998"
Bronco,"6,237 Miles",Ventura,2022,Land Rover Jaguar Ventura,"$74,997"
Explorer,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$61,030"
Explorer,"25,889 Miles",Los Angeles,2020,Galpin Ford,"$35,000"
F-150,New,Fontana,2023,Sunrise Ford,"$44,795"
Transit,"154,071 Miles",Van Nuys,2015,Wholesale Investments Inc,"$17,500"
Transit,"60,609 Miles",Fontana,2020,Sunrise Ford,"$49,999"
F-150,New,Riverside,2023,Fritts Ford,"$52,875"
Bronco Sport,New,Fontana,2023,Sunrise Ford,"$36,315"
Explorer,New,South Gate,2023,Central Ford,"$50,465"
Explorer,"111,292 Miles",Bakersfield,2015,Limited Motors Auto Group,"$15,488"
F-150,New,Riverside,2023,Fritts Ford,"$61,880"
Transit,"55,078 Miles",Sherman Oaks,2020,Universal Mitsubishi,"$37,885"
Fusion Energi,"49,598 Miles",Orange,2020,Villa Ford,"$27,900"
F-150,New,South Gate,2023,Central Ford,"$49,885"
Edge,"44,881 Miles",South Gate,2018,Central Ford,"$22,788"
Bronco Sport,New,Fontana,2023,Sunrise Ford,"$32,805"
Mustang Mach-E,New,Fontana,2023,Sunrise Ford,"$72,530"
E-Series,"200,946 Miles",Canoga Park,2006,Dependable Chrysler Dodge Jeep & Ram,"$15,000"
F-150,"66,206 Miles",Culver City,2021,Culver City Chevrolet,"$42,495"
Transit Connect,"49,111 Miles",Van Nuys,2017,Wholesale Investments Inc,"$23,500"
F-150,"48,475 Miles",Norco,2019,California Motor Trade,"$37,799"
Mustang Mach-E,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$63,595"
Focus,"89,512 Miles",Bellflower,2018,George Chevrolet,"$12,980"
Ranger,"10,604 Miles",Fontana,2021,Sunrise Ford,"$33,777"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$46,795"
F-150,New,South Gate,2023,Central Ford,"$47,130"
F-150,New,Orange,2023,Villa Ford,"$68,295"
F-150,New,Riverside,2023,Fritts Ford,"$45,040"
F-150,"37,018 Miles",Anaheim,2020,JStar Chrysler Jeep Dodge RAM,"$45,892"
Expedition,"41,171 Miles",Upland,2021,Mountain View Chevrolet,"$46,799"
F-150,New,South Gate,2023,Central Ford,"$47,130"
Ranger,"22,604 Miles",Los Angeles,2021,Galpin Ford,"$34,798"
Edge,"70,654 Miles",Fontana,2019,Fontana Motors Direct,"$18,800"
Edge,New,Ridgecrest,2023,Jim Charlon Ford Incorporated,"$41,060"
Explorer,"36,534 Miles",Los Angeles,2020,Galpin Ford,"$32,649"
F-150,"102,936 Miles",Fontana,2016,Remate De Auto Sales,"$28,900"
Escape,New,Fontana,2023,Sunrise Ford,"$32,080"
F-150,New,Fontana,2023,Sunrise Ford,"$51,780"
Explorer,"18,849 Miles",Fontana,2022,Sunrise Ford,"$39,999"
Expedition MAX,New,South Gate,2023,Central Ford,"$73,045"
Explorer,"85,764 Miles",Bloomington,2016,Fontana Auto Center,"$27,995"
Explorer,"86,481 Miles",Commerce,2016,Shift LA - Test Drives Delivered To You,"$19,400"
Explorer,"78,890 Miles",Bakersfield,2017,SBG Auto,"$22,995"
Bronco Sport,New,Fontana,2023,Sunrise Ford,"$39,370"
Explorer,New,Fontana,2023,Sunrise Ford,"$48,920"
Mustang,"63,481 Miles",Montebello,2019,LA Auto Exchange,"$23,999"
Ranger,"35,349 Miles",Los Angeles,2019,Galpin Ford,"$33,333"
Mustang,"49,800 Miles",Torrance,2021,Hertz Car Sales Torrance,"$23,952"
Mustang Mach-E,New,Fontana,2023,Sunrise Ford,"$60,530"
Bronco Sport,New,Riverside,2023,Fritts Ford,"$36,645"
F-250 Super Duty,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$72,140"
Mustang Mach-E,"11,405 Miles",Los Angeles,2022,Galpin Ford,"$56,000"
Mustang,"12,729 Miles",Westlake Village,2021,DCH Ford Of Thousand Oaks,"$41,995"
F-150,New,Fontana,2023,Sunrise Ford,"$69,570"
Edge,New,South Gate,2023,Central Ford,"$40,690"
Explorer,"73,215 Miles",Bakersfield,2018,BMW Of Bakersfield,"$22,090"
Transit,"35,503 Miles",Fontana,2021,Sunrise Ford,"$54,999"
F-150,"30,756 Miles",Bakersfield,2019,SBG Auto,"$43,995"
Explorer,"64,716 Miles",Cerritos,2019,Kia Cerritos,"$23,495"
F-150,New,Orange,2022,Villa Ford,"$71,988"
Mustang,"5,303 Miles",Bakersfield,2022,Motor City Buick GMC,"$47,590"
Ranger,"37,794 Miles",Fontana,2020,Sunrise Ford,"$30,333"
F-250 Super Duty,New,Riverside,2022,Fritts Ford,"$69,135"
Mustang Mach-E,"8,590 Miles",Glendale,2022,Pacific BMW,"$59,771"
F-150,New,Fontana,2023,Sunrise Ford,"$75,635"
Fusion,"59,467 Miles",Montebello,2014,LA Auto Exchange,"$14,691"
C-MAX Energi,"77,484 Miles",Signal Hill,2013,Glenn E Thomas Dodge Chrysler Jeep,"$13,275"
Explorer,New,Orange,2023,Villa Ford,"$61,905"
Bronco,"15,122 Miles",Glendale,2021,Pacific BMW,"$69,881"
F-350 Super Duty,"4,235 Miles",Fontana,2022,Sunrise Ford,"$63,333"
F-150,"36,511 Miles",Lancaster,2019,Antelope Valley Chevrolet,"$31,911"
F-150,"64,149 Miles",Oxnard,2018,DCH Honda Of Oxnard,"$29,500"
Escape,"7,989 Miles",Ridgecrest,2021,Jim Charlon Ford Incorporated,"$26,950"
Bronco Sport,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$42,565"
F-150,New,Fontana,2023,Sunrise Ford,"$44,845"
Explorer,"34,225 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$27,894"
Explorer,"86,575 Miles",Montclair,2017,IE Motors Direct,"$21,499"
E-Transit,New,Buena Park,2023,Ken Grody Ford Buena Park,"$58,835"
E-Transit,New,Long Beach,2023,Caruso Ford,"$53,730"
Edge,New,Rowland Heights,2023,Puente Hills Ford,"$40,835"
Mustang Mach-E,New,Hawthorne,2023,South Bay Ford Lincoln,"$47,795"
Explorer,New,Simi Valley,2023,Price Ford Of Simi Valley,"$51,065"
Bronco,New,Oxnard,2023,Envision Ford Lincoln Of Oxnard,"$63,765"
Bronco Sport,"15,076 Miles",Upland,2022,Ford Of Upland,"$32,997"
F-150,New,Hawthorne,2023,South Bay Ford Lincoln,"$56,610"
Mustang Mach-E,New,Redlands,2023,Ken Grody Ford Of Redlands,"$59,795"
Thunderbird,"56,183 Miles",Beverly Hills,1957,Marshall Goldman Beverly Hills,"$64,900"
F-250 Super Duty,"45,701 Miles",Fontana,2021,Pacific Auto Center,"$64,995"
F-150,New,Buena Park,2023,Ken Grody Ford Buena Park,"$83,085"
Ranger Chassis,New,Hawthorne,2021,South Bay Ford Lincoln,"$34,540"
F-250 Super Duty,"54,873 Miles",Fullerton,2021,Car Castle,"$53,999"
F-350 Super Duty,"34,271 Miles",Fontana,2017,Pacific Auto Center,"$67,995"
Fiesta,"94,797 Miles",Bakersfield,2016,Naranjo Auto Sales,"$11,096"
F-150,"62,928 Miles",Fontana,2020,Pacific Auto Center,"$36,995"
F-150,New,Long Beach,2023,Caruso Ford,"$43,590"
F-250 Super Duty,New,Norco,2023,Hemborg Ford,"$67,270"
Escape,"29,618 Miles",Hawthorne,2019,South Bay Ford Lincoln,"$21,988"
F-150,"101,407 Miles",Santa Ana,2019,Carros Baratos,"$24,900"
Expedition MAX,New,Ontario,2023,Citrus Motors Ford And Kia,"$71,650"
F-250 Super Duty,New,Long Beach,2023,Ford Of Long Beach,"$65,789"
Expedition,"101,887 Miles",Pacoima,2017,Karplus Warehouse,"$17,777"
Explorer,New,Ontario,2023,Citrus Motors Ford And Kia,"$50,369"
Ranger Chassis,New,Hawthorne,2021,South Bay Ford Lincoln,"$33,340"
Mustang Mach-E,New,Simi Valley,2023,Price Ford Of Simi Valley,"$56,290"
Thunderbird,"157,871 Miles",Orange,2002,Penningtons Auto Sales,"$9,995"
E-Series,"79,603 Miles",Bellflower,2007,Best Buy Quality Cars,"$19,998"
Escape Hybrid,"20,959 Miles",Hawthorne,2020,South Bay Ford Lincoln,"$34,988"
Ranger Chassis,New,Hawthorne,2021,South Bay Ford Lincoln,"$39,740"
F-150,New,Lancaster,2023,Diamond Ford,"$52,824"
Explorer,New,Upland,2023,Ford Of Upland,"$49,065"
F-150,New,Buena Park,2023,Ken Grody Ford Buena Park,"$74,770"
F-150,New,Hawthorne,2023,South Bay Ford Lincoln,"$62,950"
Fusion,"59,744 Miles",Downey,2020,Downey Hyundai,"$21,998"
F-250 Super Duty,New,Chino,2023,Chino Hills Ford,"$66,590"
Bronco,"2,296 Miles",West Covina,2022,Chrysler Dodge Jeep Ram Of West Covina,"$63,200"
Ranger Chassis,New,Hawthorne,2021,South Bay Ford Lincoln,"$33,315"
Bronco,New,Long Beach,2023,Ford Of Long Beach,"$62,115"
Escape,"55,046 Miles",Montclair,2017,STG Auto Group,"$16,612"
Expedition MAX,New,Simi Valley,2023,Price Ford Of Simi Valley,"$73,650"
F-250 Super Duty,New,Simi Valley,2023,Price Ford Of Simi Valley,"$68,399"
Explorer,"47,245 Miles",Downey,2020,Downey Hyundai,"$44,000"
F-150,New,Long Beach,2023,Caruso Ford,"$113,520"
F-250 Super Duty,New,Long Beach,2023,Ford Of Long Beach,"$60,816"
F-250 Super Duty,New,Redlands,2022,Ken Grody Ford Of Redlands,"$57,457"
F-150,"107,356 Miles",Rowland Heights,2016,Puente Hills Ford,"$23,565"
Escape,"106,611 Miles",Santa Ana,2019,Carros Baratos,"$14,000"
Bronco Sport,"31,246 Miles",Gardena,2021,Gardena Nissan,"$32,995"
Mustang Mach-E,"2,627 Miles",Ontario,2023,Vista Motors,"$44,000"
Mustang Mach-E,New,Hawthorne,2023,South Bay Ford Lincoln,"$55,795"
Escape,New,Norco,2023,Hemborg Ford,"$32,532"
F-250 Super Duty,New,Norco,2023,Hemborg Ford,"$63,205"
F-150,"35,255 Miles",San Bernardino,2019,Nissan Of San Bernardino,"$34,995"
Explorer,"15,477 Miles",Redlands,2021,Ken Grody Ford Of Redlands,"$50,000"
Transit,"99,785 Miles",Fontana,2019,Pacific Auto Center,"$56,995"
Transit,"47,428 Miles",Fontana,2020,Pacific Auto Center,"$41,995"
Fusion Hybrid,"73,832 Miles",Montclair,2017,STG Auto Group,"$16,600"
Mustang,"61,104 Miles",Ridgecrest,1965,American Dream Auto Sales,"$25,000"
Ranger,New,Oxnard,2023,Envision Ford Lincoln Of Oxnard,"$49,095"
F-450 Super Duty,"22,972 Miles",Buena Park,2019,Ken Grody Ford Buena Park,"$85,000"
Edge,"17,380 Miles",Ontario,2021,Citrus Motors Ford And Kia,"$27,993"
Expedition,New,Rowland Heights,2023,Puente Hills Ford,"$89,670"
F-150,"38,747 Miles",Fontana,2019,Pacific Auto Center,"$37,995"
Ranger,"18,954 Miles",Buena Park,2022,Ken Grody Ford Buena Park,"$39,250"
Transit,"69,699 Miles",Downey,2020,Downey Hyundai,"$44,994"
F-250 Super Duty,"168,534 Miles",Ontario,2012,Fiesta Motors,"$26,900"
Expedition MAX,New,Hawthorne,2022,South Bay Ford Lincoln,"$66,080"
F-150,"70,506 Miles",Oxnard,2018,Envision Ford Lincoln Of Oxnard,"$55,988"
Mustang,New,Norco,2023,Hemborg Ford,"$52,660"
Expedition EL,"126,721 Miles",Pasadena,2017,Personalized Auto Group,"$17,995"
F-150,"33,055 Miles",Buena Park,2020,Ken Grody Ford Buena Park,"$69,000"
Explorer,New,Ontario,2023,Citrus Motors Ford And Kia,"$50,465"
F-150,New,Lancaster,2023,Diamond Ford,"$59,368"
Edge,"119,570 Miles",Pacoima,2015,Karplus Warehouse,"$14,573"
F-150 Lightning,New,Hawthorne,2023,South Bay Ford Lincoln,"$76,819"
Mustang Mach-E,New,Hawthorne,2023,South Bay Ford Lincoln,"$60,595"
